;Padel Deportivo Ebro;"41°40'04.3""N 0°55'22.4""W";;;;;;;;;;;;;;;;
;Dias laborales;;;;;;;;;;Fin de semana;;;;;;;
;Pistas interiores (5);;;;;Pistas Exteriores (3);;;;;Pistas interiores (5);;;;Pistas exteriores (3);;;
Franjas Horarias;9:00 - 16:00;16:00 - 17:00;17:00 - 20:30;20:30-21:30;21:30-23:00;9:00 - 16:00;16:30 - 17:00;17:00 - 17:30;17:30 - 21:30;21:30-23:00;8:00 - 12:30 ;12:30 - 13:00;13:00 - 16:00 ;"16;00 - 21:00 ";8:00 - 13:00;13:00 - 14:00 ;14:00 - 21:00;
Precio;14,56;20,11;27,04;24,96;22,88;7,8;12,83;17,83;22,88;20,8;20,8;18,72;14,56;18,72;16,64;15,96;14,56;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;SoccerWorld Zaragoza;"41°40'23.5""N 0°54'03.1""W";;;;;;;;;;;;;;;;
;Dias laborales;;;;;;Fin de semana;;;;;;;;;;;
;Pistas interiores (5);;;Pistas Exteriores (6);;;Pistas interiores (5);;Pistas exteriores (6);;;;;;;;;
Franjas Horarias;8:00 - 14:00;14:00 - 17:00;17:00 - 23:00;8:00 - 14:00;14:00 - 16:30;17:00 - 23:00;9:00 - 14:00;14:00 - 21:00;9:00 - 14:00;14:00 - 21:00;;;;;;;;
Precio;20,79;28,08;32,76;18,72;21,84;31,2;28,08;24,96;24,96;21,84;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Montecanal centro deportivo;;"41°37'46.8""N 0°56'45.5""W";;;;;;;;;;;;;;;
;Dias laborales;;Fin de semana;;;;;;;;;;;;;;;
;Pistas interiores (6);;Pistas interiores (6);;;;;;;;;;;;;;;
Franjas Horarias;8:00 - 16:00;16:00 - 22:00;8:00 - 21:00;;;;;;;;;;;;;;;
Precio;17,27;35,36;20,8;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Padel Indoor Aragón;"41°38'39.4""N 0°51'19.6""W";;;;;;;;;;;;;;;;
;Dias laborales;;Fin de semana;;;;;;;;;;;;;;;
;Pistas interiores (6);;Pistas interiores (6);;;;;;;;;;;;;;;
Franjas Horarias;8:00 - 15:00;15:00 - 22:00;8:00 - 14:00;14:00-17:00;17:00 - 23:00;;;;;;;;;;;;;
Precio;15,81;31,83;22,88;16,64;22,88;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Regal Padel Club;"41°38'36.9""N 0°56'06.4""W";;;;;;;;;;;;;;;;
;Dias laborales;;Fin de semana;;;;;;;;;;;;;;;
;Pistas interiores (8);;Pistas interiores (8);;;;;;;;;;;;;;;
Franjas Horarias;9:00 - 16:00;16:00 - 23:00;8:00 - 22:00;;;;;;;;;;;;;;;
Precio;18,72;34,32;23,92;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Forus Aragonia;"41°38'26.9""N 0°54'34.6""W";;;;;;;;;;;;;;;;
;Dias laborales;Fin de semana;;;;;;;;;;;;;;;;
;Pistas exteriores (4);Pistas exteriores (4);;;;;;;;;;;;;;;;
Franjas Horarias;7:00 - 22:00;9:00 - 21:00;;;;;;;;;;;;;;;;
Precio;30,58;30,58;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Urban Sport;"41°40'18.6""N 0°52'44.1""W";;;;;;;;;;;;;;;;
;Dias laborales;;;;;;;;;;;;;Fin de semana;;;;
;Pistas interiores (9);;;;;Pista semicubierta (2);;;;Pistas exteriores (2);;;;Pistas interiores (9);;;Pista semicubierta (2);Pistas exteriores (2)
Franjas Horarias;7:00 - 12:00;13:00 - 15:00;15:00 - 16:00;16:00 - 17:00;17:00 - 23:00;7:00 - 15:00;15:00-15:30;15:30 - 17:00;17:00 - 23:00;7:00 - 15:00;15:00 - 15:30;15:30 - 16:00;16:00 - 23:00;;;;8:00 - 21:00;8:00 - 21:00
Precio;22,05;14,56;22,05;25,8;33,08;17,06;19,9;22,75;25,59;13,32;15,4;17,48;19,56;;;;25,17;19,97
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;CDM Alberto Maestro;41.650260202511355, -0.8649524911912402;;;;;;;;;;;;;;;;
;Dias laborales;;;;;Fin de semana;;;;;;;;;;;;
;Pistas Exteriores (3);;Pistas semicubiertas muro (3);;;Pistas Exteriores (3);Pistas semicubiertas muro (3);;;;;;;;;;;
Franjas horarias;9:00 - 16:00;16:00 - 22:00;9:00 - 16:00;16:00 - 17:00;17:00 - 22:00;8:00 - 16:00;16:00 - 22:00;8:00 - 16:00;16:00 - 22:00;;;;;;;;;
Precio;18;24;18;20;24;21;18;22,5;18;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;CDM Bombarda Delicias;;41.65608390872318, -0.9182398758475266;;;;;;;;;;;;;;;
;Dias laborales;;;;;Fin de semana;;;;;;;;;;;;
;Pistas Exteriores (2);;Pistas semicubiertas cristal (4);;;Pistas Exteriores (2);Pistas semicubiertas muro (4);;;;;;;;;;;
Franjas horarias;9:00 - 16:00;16:00 - 22:00;9:00 - 16:00;16:00 - 17:00;17:00 - 22:00;8:00 - 16:00;16:00 - 22:00;8:00 - 16:00;16:00 - 22:00;;;;;;;;;
Precio;18;24;18;20;24;21;18;22,5;18;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Real Zaragoza Club De Tenis;;"41°40'07.4""N 0°58'43.1""W";;;;;;;;;;;;;;;
;Dias laborales;;;Fin de semana;;;;;;;;;;;;;;
;Pistas interiores (4);Pistas Exteriores (5);;Pistas interiores (4);;Pistas Exteriores (5);;;;;;;;;;;;
Franjas horarias;;;;9:00 - 13:30;13:30 - 23:00;9:00 - 12:30;12:30 - 13:00;13:00 - 18:00;18:00 - 23:00;;;;;;;;;
Precio;;;;35,36;18,72;18,72;17,34;14,56;20,8;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Premium Padel Zaragoza;;"41°35'42.2""N 0°55'54.1""W";;;;;;;;;;;;;;;
;Dias laborales;;;Fin de semana;;;;;;;;;;;;;;
;Pistas interiores (2);;;Pistas interiores (2);;;;;;;;;;;;;;
Franjas horarias;7:00 - 15:00;16:00 - 22:00;22:00 - 00:00;7:00 - 00:00;;;;;;;;;;;;;;
Precio;14,56;29,12;22,88;22,88;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Padel corazonistas Moncayo;;"41°38'17.2""N 0°54'35.5""W";;;;;;;;;;;;;;;
;Dias laborales;;;;Fin de semana;;;;;;;;;;;;;
;Pistas semicubiertas (2);;;;Pistas semicubiertas (2);;;;;;;;;;;;;
Franjas horarias;8:00 - 15:00;15:00 - 16:00;16:00- 20:00;20:00 - 22:00;8:00 - 22:00;;;;;;;;;;;;;
Precio;15,6;21,86;24,96;21,86;21,84;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Forus Siglo XXI;"41°40'31.5""N 0°53'50.3""W";;;;;;;;;;;;;;;;
;Dias laborales;Fin de semana;;;;;;;;;;;;;;;;
;Pistas exteriores (2);Pistas exteriores (2);;Domingo hasta la 13;;;;;;;;;;;;;;
Franjas horarias;7:00 - 22:00;8:00 - 20:00;;;;;;;;;;;;;;;;
Precio;20,6;20,6;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Padel Indoor Cuarte;"41°35'52.6""N 0°55'49.0""W";;;;;;;;;;;;;;;;
;Dias laborales;;;;;Fin de semana;;;;;;;;;;;;
;Pistas interiores (4);;;;;Pistas interiores (4);;;;;;;;;;;;
Franjas horarias;8:00 - 12:00;"12;00 - 15:00";15:00 - 15:30;15:30 - 16:00;16:00 - 00:00;8:00 - 00:00;;;;;;;;;;;;
Precio;18,72;20,79;24,96;29,11;33,28;23,92;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Momento Padel;"41°35'53.7""N 0°55'43.7""W";;;;;;;;;;;;;;;;
;Dias laborales;;;;;;;;;;;;;;;;;
;Pistas interiores (4);;;;;;;;;;;;;;;;;
Franjas horarias;00:00 - 03:00;7:00 - 15:00;16:00 - 20:00;20:00 - 22:00 ;22:00 - 00:00;;;;;;;;;;;;;
Precio;12,48;14,56;24,96;20;16,64;;;;;;;;;;;;;
