ID_Reserva,Club,Coordenadas,Fecha,Dia_Semana,Es_Fin_Semana,Hora,Tipo_Pista,Nombre_Pista,Estado,Precio_Euro,Ingreso_Generado
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Interior,Interior 1,Libre,14.56,0.0
ad5448b5,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Interior,Interior 1,Ocupada,14.56,14.56
cbad5b45,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Interior,Interior 1,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Interior,Interior 1,Libre,14.56,0.0
4ebfa92d,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:00,Interior,Interior 1,Ocupada,20.11,20.11
3ae6165b,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,18:30,Interior,Interior 1,Ocupada,27.04,27.04
076c8649,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Interior,Interior 1,Ocupada,24.96,24.96
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Interior,Interior 2,Libre,14.56,0.0
23927ad6,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Interior,Interior 2,Ocupada,14.56,14.56
d6cf4811,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Interior,Interior 2,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Interior,Interior 2,Libre,14.56,0.0
992369ab,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:00,Interior,Interior 2,Ocupada,20.11,20.11
921a7359,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,18:30,Interior,Interior 2,Ocupada,27.04,27.04
49bc6f9f,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Interior,Interior 2,Ocupada,24.96,24.96
ee95c036,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Interior,Interior 3,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Interior,Interior 3,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Interior,Interior 3,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Interior,Interior 3,Libre,14.56,0.0
3593fb96,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:00,Interior,Interior 3,Ocupada,20.11,20.11
143ecfb7,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,18:30,Interior,Interior 3,Ocupada,27.04,27.04
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Interior,Interior 3,Libre,24.96,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Interior,Interior 4,Libre,14.56,0.0
89adda8d,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:00,Interior,Interior 4,Ocupada,20.11,20.11
89dadb34,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,18:30,Interior,Interior 4,Ocupada,27.04,27.04
afefe027,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Interior,Interior 4,Ocupada,24.96,24.96
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Interior,Interior 5,Libre,14.56,0.0
791a3c04,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Interior,Interior 5,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Interior,Interior 5,Libre,14.56,0.0
